Sheet,Attempt_ID,Start_time,End_time,Duration_ms
BasParmakEkstansiyon,1,863.0,1253.0,390.0
BasParmakEkstansiyon,2,1963.0,3153.0,1190.0
BasParmakEkstansiyon,3,3963.0,4753.0,790.0
BasParmakEkstansiyon,4,5663.0,6553.0,890.0
BasParmakEkstansiyon,5,7163.0,7853.0,690.0
BasParmakEkstansiyon,6,9163.0,9953.0,790.0
BasParmakEkstansiyon,7,10463.0,11253.0,790.0
BasParmakEkstansiyon,8,12063.0,12953.0,890.0
BasParmakEkstansiyon,9,13563.0,14653.0,1090.0
BasParmakEkstansiyon,10,15063.0,15953.0,890.0
BasParmakEkstansiyon,11,16463.0,17153.0,690.0
BasParmakEkstansiyon,12,17763.0,18553.0,790.0
BasParmakFleksiyon,1,1547.0,3637.0,2090.0
BasParmakFleksiyon,2,4647.0,5737.0,1090.0
BasParmakFleksiyon,3,7147.0,7837.0,690.0
BasParmakFleksiyon,4,8947.0,10437.0,1490.0
BasParmakFleksiyon,5,11347.0,14637.0,3290.0
El-Ac,1,1162.0,1652.0,490.0
El-Ac,2,1962.0,2552.0,590.0
El-Ac,3,3162.0,3352.0,190.0
El-Ac,4,4562.0,5352.0,790.0
El-Ac,5,9862.0,10252.0,390.0
El-Ac,6,10762.0,11352.0,590.0
El-Ac,7,13662.0,15152.0,1490.0
El-Ac,8,15962.0,18652.0,2690.0
El-Ac,9,19162.0,19652.0,490.0
El-Ac,10,20362.0,20652.0,290.0
El-Ac,11,21162.0,21852.0,690.0
El-Kapat,1,462.0,7452.0,6990.0
El-Kapat,2,11362.0,14352.0,2990.0
Pronasyon,1,3847.0,5937.0,2090.0
Pronasyon,2,6347.0,6837.0,490.0
Pronasyon,3,7547.0,11637.0,4090.0
Pronasyon,4,12947.0,14237.0,1290.0
Pronasyon,5,15347.0,16837.0,1490.0
Pronasyon,6,18247.0,19437.0,1190.0
Pronasyon,7,22247.0,23637.0,1390.0
Pronasyon,8,25247.0,26337.0,1090.0
