Time,Active
47.0,0
57.0,0
67.0,0
77.0,0
87.0,0
97.0,0
107.0,0
117.0,0
127.0,0
137.0,0
147.0,0
157.0,0
167.0,0
177.0,0
187.0,0
197.0,0
207.0,0
217.0,0
227.0,0
237.0,0
247.0,0
257.0,0
267.0,0
277.0,0
287.0,0
297.0,0
307.0,0
317.0,0
327.0,0
337.0,0
347.0,0
357.0,0
367.0,0
377.0,0
387.0,0
397.0,0
407.0,0
417.0,0
427.0,0
437.0,0
447.0,0
457.0,0
467.0,0
477.0,0
487.0,0
497.0,0
507.0,0
517.0,0
527.0,0
537.0,0
547.0,0
557.0,0
567.0,0
577.0,0
587.0,0
597.0,0
607.0,0
617.0,0
627.0,0
637.0,0
647.0,0
657.0,0
667.0,0
677.0,0
687.0,0
697.0,0
707.0,0
717.0,0
727.0,0
737.0,0
747.0,0
757.0,0
767.0,0
777.0,0
787.0,0
797.0,0
807.0,0
817.0,0
827.0,0
837.0,0
847.0,0
857.0,0
867.0,0
877.0,0
887.0,0
897.0,0
907.0,0
917.0,0
927.0,0
937.0,0
947.0,0
957.0,0
967.0,0
977.0,0
987.0,0
997.0,0
1007.0,0
1017.0,0
1027.0,0
1037.0,0
1047.0,0
1057.0,0
1067.0,0
1077.0,0
1087.0,0
1097.0,0
1107.0,0
1117.0,0
1127.0,0
1137.0,0
1147.0,0
1157.0,0
1167.0,0
1177.0,0
1187.0,0
1197.0,0
1207.0,0
1217.0,0
1227.0,0
1237.0,0
1247.0,0
1257.0,0
1267.0,0
1277.0,0
1287.0,0
1297.0,0
1307.0,0
1317.0,0
1327.0,0
1337.0,0
1347.0,0
1357.0,0
1367.0,0
1377.0,0
1387.0,0
1397.0,0
1407.0,0
1417.0,0
1427.0,0
1437.0,0
1447.0,0
1457.0,0
1467.0,0
1477.0,0
1487.0,0
1497.0,0
1507.0,0
1517.0,0
1527.0,0
1537.0,0
1547.0,0
1557.0,0
1567.0,0
1577.0,0
1587.0,0
1597.0,0
1607.0,0
1617.0,0
1627.0,0
1637.0,0
1647.0,0
1657.0,0
1667.0,0
1677.0,0
1687.0,0
1697.0,0
1707.0,0
1717.0,0
1727.0,0
1737.0,0
1747.0,0
1757.0,0
1767.0,0
1777.0,0
1787.0,0
1797.0,0
1807.0,0
1817.0,0
1827.0,0
1837.0,0
1847.0,0
1857.0,0
1867.0,0
1877.0,0
1887.0,0
1897.0,0
1907.0,0
1917.0,0
1927.0,0
1937.0,0
1947.0,0
1957.0,0
1967.0,0
1977.0,0
1987.0,0
1997.0,0
2007.0,0
2017.0,0
2027.0,0
2037.0,0
2047.0,0
2057.0,0
2067.0,0
2077.0,0
2087.0,0
2097.0,0
2107.0,0
2117.0,0
2127.0,0
2137.0,0
2147.0,0
2157.0,0
2167.0,0
2177.0,0
2187.0,0
2197.0,0
2207.0,0
2217.0,0
2227.0,0
2237.0,0
2247.0,0
2257.0,0
2267.0,0
2277.0,0
2287.0,0
2297.0,0
2307.0,0
2317.0,0
2327.0,0
2337.0,0
2347.0,0
2357.0,0
2367.0,0
2377.0,0
2387.0,0
2397.0,0
2407.0,0
2417.0,0
2427.0,0
2437.0,0
2447.0,0
2457.0,0
2467.0,0
2477.0,0
2487.0,0
2497.0,0
2507.0,0
2517.0,0
2527.0,0
2537.0,0
2547.0,0
2557.0,0
2567.0,0
2577.0,0
2587.0,0
2597.0,0
2607.0,0
2617.0,0
2627.0,0
2637.0,0
2647.0,0
2657.0,0
2667.0,0
2677.0,0
2687.0,0
2697.0,0
2707.0,0
2717.0,0
2727.0,0
2737.0,0
2747.0,0
2757.0,0
2767.0,0
2777.0,0
2787.0,0
2797.0,0
2807.0,0
2817.0,0
2827.0,0
2837.0,0
2847.0,0
2857.0,0
2867.0,0
2877.0,0
2887.0,0
2897.0,0
